Business Name,Business Startdate,City,State,Street Direction,Street Name,Street Number,Street Suffix,Zip,Business Class,Reason for Applying,Latitude,Longitude,Location
KENCO MANAGEMENT SERVICES LLC,01/01/2008,CHATTANOOGA,TN,,RIVERSIDE,2001,DR,37406,,1 - New Business,35.058496801,-85.278493221,"(35.058496801, -85.278493221)"
KENCO MANAGEMENT SERVICES LLC,01/01/2008,CHATTANOOGA,TN,,RIVERSIDE,2001,DR,37406,,1 - New Business,35.058496801,-85.278493221,"(35.058496801, -85.278493221)"
BILL FARRIS,01/01/2012,CHATTANOOGA,TN,E,32ND,1118,ST,37407,,1 - New Business,,,
CHECK INTO CASH #00035,10/01/2007,CHATTANOOGA,TN,,SHALLOWFORD,7200,RD,37404,,1 - New Business,35.0415670040001,-85.154818599,"(35.0415670040001, -85.154818599)"
JORDAN DISTRIBUTING CO INC,04/01/2006,CHATTANOOGA,TN,S,HIGHLAND PARK,2013,AVE,37404-6014,,1 - New Business,,,
MT ASSOCIATES LLC,07/15/2002,CHATTANOOGA,TN,,LEE,6148,HWY,37421,,1 - New Business,35.027034917,-85.1884403989999,"(35.027034917, -85.1884403989999)"
ABLEE HOMES INS,09/19/2007,CHATTANOOGA,TN,,VARIOUS LOCATIONS,9999,,37402,,1 - New Business,,,
BOSS HOGG'S BAR & GRILL,12/04/2009,CHATTANOOGA,TN,E,23RD,1601,ST,37404,,1 - New Business,,,
VESTA TECHNOLOGY INC,12/08/2014,CHATTANOOGA,TN,,MARKET,800,ST,37402,,1 - New Business,35.0469979960001,-85.30922579,"(35.0469979960001, -85.30922579)"
SOUTHERN SURGICAL ARTS,07/01/2013,CHATTANOOGA,TN,,COWART,1405,ST,37408,,1 - New Business,35.03847187,-85.310398116,"(35.03847187, -85.310398116)"
EAST BRAINERD LAUNDRY,06/01/2012,CHATTANOOGA,TN,E,BRAINERD,7953,RD,37421,,1 - New Business,,,
